paper_id,title,year,journal,sjr_quartile,quality_score,irr_resolution,rq_tags,dsr_cycle_primary,dsr_cycle_secondary,artifact_type,evaluation_type,is_theory_used,context_level,developing_country,gap_codes
P001,Financial Fraud Detection Based on Machine Learning: A Systematic Literature Review,2022,Applied Sciences,Q2,6.3,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,cross-national (developed),Y,GAP-FW
P003,Financial Cybercrime: A Comprehensive Survey of Deep Learning Approaches to Tackle the Evolving Fina,2021,IEEE Access,Q1,6.6,CONSENSUS,nan,DESIGN,RIGOR,Algorithm/deep model,Laboratory experiment (synthetic/benchmark),None,cross-national (developed),N,GAP-FW
P012,EVOLVING TAX COMPLIANCE IN THE DIGITAL ERA: A COMPARATIVE ANALYSIS OF AI-DRIVEN MODELS AND BLOCKCHAI,2024,Computer Science & IT Research Journal,nan,5.05,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-TAM,cross-national (developing),Y,GAP-FW
P013,The Role of IT Governance in the Integration of AI in Accounting and Auditing Operations,2024,Economies,Q2,5.7,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-UTAUT,cross-national (developing),Y,GAP-FW
P015,A Review of Neural Networks for Anomaly Detection,2022,IEEE Access,Q1,6.6,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),None,unspecified,Partial,GAP-FW
P016,Securing Government Revenue: A Cloud-Based AI Model for Predictive Detection of Tax-Related Financia,2025,International Journal of Computer Applications Technology and Research,nan,5.35,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,sub-national,Y,GAP-EXPLAIN
P022,Machine learning in business and finance: a literature review and research opportunities,2024,Financial Innovation,nan,5.05,CONSENSUS,RQ1,RIGOR,DESIGN,None (literature review),Systematic review / bibliometric,None,cross-national (developed),N,GAP-FW
P035,Designing Unified Compliance Intelligence Models for Scalable Risk Detection and Prevention in SME F,2025,International Journal of Multidisciplinary Research and Growth Evaluation,nan,5.65,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),None,national,N,GAP-FW
P037,AI and Financial Fraud Prevention: Mapping the Trends and Challenges Through a Bibliometric Lens,2025,Journal of risk and financial management,Q3,5.35,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,cross-national (developed),Y,GAP-FW
P039,Exploring the role of Machine Learning and Deep Learning in Anti-Money Laundering (AML) strategies w,2025,Finance & Accounting Research Journal,Q3,5.35,CONSENSUS,nan,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),IST-FRAUD,cross-national (developed),N,GAP-EXPLAIN
P041,Real-time suspicious detection framework for financial data streams,2025,International Journal of Information Technology,Q1,6.15,CONSENSUS,nan,DESIGN,RIGOR,Algorithm/deep model,Laboratory experiment (synthetic/benchmark),None,cross-national (developed),N,GAP-EXPLAIN|GAP-FW
P043,AI-based decision support system for public procurement,2023,Information Systems,Q1,6.0,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,national,Partial,GAP-FW
P044,Enhancing fraud detection in accounting through AI: Techniques and case studies,2024,Finance & Accounting Research Journal,Q3,5.35,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-DSR,national,Y,GAP-FW
P045,FinChain-BERT: A High-Accuracy Automatic Fraud Detection Model Based on NLP Methods for Financial Sc,2023,Information,nan,5.6,CONSENSUS,nan,RIGOR,DESIGN,None (literature review),Systematic review / bibliometric,None,unspecified,Partial,GAP-FW
P047,Fraud Prevention of Village Fund Management,2022,International Journal of Islamic Business and Management Review,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-AT|IST-FRAUD,village,Y,none
P048,Development of integrated village fund governance model with siberas public service application,2024,Edelweiss Applied Science and Technology,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,village,Y,GAP-FW
P049,Supervision of Village Financial Management: will it be in Parallel with the Development of Village ,2023,Journal of Law and Sustainable Development,nan,4.15,DOMAIN_OVERRIDE,"RQ1,RQ2,RQ3",RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-AT,village,Y,none
P050,Recognising and detecting patterns of village corruption in Indonesia,2023,Integritas Jurnal Antikorupsi,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-AT|IST-FRAUD,village,Y,none
P051,"Determinants of fraud in the village government: testing whistleblowing systems, internal control sy",2024,Jurnal Akademi Akuntansi,nan,4.15,CONSENSUS,nan,RELEVANCE,RIGOR,Conceptual/empirical study,Case study / qualitative,None,village,Y,none
P052,"The Influence of Apparatus Competence, Internal Control and Financial Systems on Fraud Prevention wi",2025,"International Journal of Economics, Management and Accounting",nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-FRAUD,village,Y,GAP-VILLAGE
P053,Fraud prevention in village financial management an analysis of the regional inspectorate's role in ,2026,Akuntansiku,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Conceptual/empirical study,Case study / qualitative,None,village,Y,GAP-FW
P054,Effect Of Human Resource Capacity On Village Fund Management Via Anti-Corruption Numeracy Mediation ,2025,Jurnal Manajemen Dayasaing,nan,4.15,DOMAIN_OVERRIDE,RQ2,RELEVANCE,DESIGN,Algorithm/classic ML,Empirical study (government data),None,village,Y,GAP-FW
P055,"The Influence of Village Apparatus Competence, Government Compliance in Financial Reporting, Interna",2025,International Journal of Business and Applied Economics,nan,4.15,CONSENSUS,nan,RELEVANCE,RIGOR,Conceptual/empirical study,Case study / qualitative,None,village,Y,none
P056,"The Effect of Morality, Whistleblowing and Internal Control Systems on Fraud Prevention in Village F",2026,Dinasti International Journal of Economics Finance & Accounting,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-FRAUD,village,Y,none
P057,The Effect of Internal Control and Budget Management Compliance on Fraud Detection (Empirical Study ,2025,Eduvest - Journal Of Universal Studies,nan,4.15,CONSENSUS,RQ3,RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-FRAUD,village,Y,GAP-FW
P058,The Influence of Implementation of the Regional Government Information System and the Government Int,2025,Journal of Accounting and Finance Management,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-AT,village,Y,GAP-FW
P059,THE AUDIT AUTHORITY OF THE STATE AUDIT BOARD ON THE VILLAGE FINANCIAL MANAGEMENT IN SOLOK REGENCY,2023,Cepalo,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Conceptual/empirical study,Case study / qualitative,None,village,Y,GAP-FW
P060,EXPLORING THE DETERMINANTS OF FRAUD PREVENTION IN VILLAGE FUND MANAGEMENT: EVIDENCE FROM REGENCIES A,2025,Lex localis - Journal of Local Self-Government,nan,4.15,DOMAIN_OVERRIDE,"RQ2,RQ3",RELEVANCE,RIGOR,Theoretical model,Case study / qualitative,IST-AT|IST-FRAUD,village,Y,GAP-FW
P061,The landscape of public procurement research: a bibliometric analysis and topic modelling based on S,2023,Journal of Public Procurement,nan,4.45,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,national,Partial,none
P062,Intelligent Anti-Money Laundering Fraud Control Using Graph-Based Machine Learning Model for the Fin,2023,Journal of Cases on Information Technology,nan,4.6,CONSENSUS,nan,RELEVANCE,RIGOR,Conceptual/empirical study,Case study / qualitative,None,unspecified,Partial,none
P064,Using data analytics to distinguish legitimate and illegitimate shell companies,2024,Journal of Economic Criminology,nan,4.15,CONSENSUS,nan,RELEVANCE,RIGOR,Conceptual/empirical study,Conceptual / theoretical,None,unspecified,Partial,none
P065,Rethinking Corruption Tolerance: A Critical Interpretive Synthesis and Typology-Based Model Grounded,2025,CrimRxiv,nan,4.15,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-AT|IST-FRAUD|IST-IT,national,Y,GAP-FW
P066,"Deep Learning Approaches for Anti-Money Laundering on Mobile Transactions: Review, Framework, and Di",2025,ArXiv.org,nan,4.75,CONSENSUS,RQ1,RIGOR,DESIGN,None (literature review),Systematic review / bibliometric,None,cross-national (developed),N,GAP-FW
P067,Machine Learning Analysis of Public Procurement in the Dominican Republic: Impacts on Economic Effic,2023,Preprints.org,nan,4.15,CONSENSUS,nan,DESIGN,RELEVANCE,Algorithm/classic ML,Empirical study (government data),None,national,Y,GAP-FW
P070,THE INFLUENCE OF SECURE DATA SYSTEMS ON FRAUD DETECTION IN BUSINESS INTELLIGENCE APPLICATIONS,2024,nan,nan,4.15,CONSENSUS,-,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-IT,cross-national (developing),Y,GAP-FW|GAP-INTER
P072,"A Survey of Graph Neural Networks in Real world: Imbalance, Noise, Privacy and OOD Challenges",2024,arXiv (Cornell University),nan,4.6,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Algorithm comparison (benchmark),IST-IT|IST-TAM,unspecified,Partial,GAP-FW
P073,From Portfolio Optimization to Quantum Blockchain and Security: A Systematic Review of Quantum Compu,2023,arXiv (Cornell University),nan,4.6,CONSENSUS,-,DESIGN,RIGOR,Algorithm/classic ML,Laboratory experiment (synthetic/benchmark),None,unspecified,Partial,GAP-FW
P074,Federated and Privacy-Preserving Learning of Accounting Data in Financial Statement Audits,2022,nan,nan,4.15,CONSENSUS,nan,DESIGN,RIGOR,Algorithm/deep model,Laboratory experiment (synthetic/benchmark),None,unspecified,Partial,none
P085,U.S.-U.K. PETs Prize Challenge: Anomaly Detection via Privacy-Enhanced Federated Learning,2024,IEEE Transactions on Privacy,nan,4.15,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Laboratory experiment (synthetic/benchmark),None,unspecified,Partial,GAP-FW
P087,AI-AUGMENTED RISK DETECTION IN CYBERSECURITY COMPLIANCE: A GRC-BASED EVALUATION IN HEALTHCARE AND FI,2025,nan,nan,4.6,CONSENSUS,nan,RIGOR,DESIGN,None (literature review),Systematic review / bibliometric,IST-GRC,cross-national (developing),Y,GAP-EXPLAIN|GAP-FW|GAP-INTER
P089,Tax Fraud Detection Using Artificial Intelligence-Based Technologies: Trends and Implications,2025,Journal of risk and financial management,Q3,4.9,CONSENSUS,nan,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,IST-IT,cross-national (developing),Y,GAP-FW
P091,Starlit: Privacy-Preserving Federated Learning to Enhance Financial Fraud Detection,2024,arXiv (Cornell University),nan,4.75,CONSENSUS,RQ1,DESIGN,RIGOR,Algorithm/deep model,Laboratory experiment (synthetic/benchmark),None,cross-national (developed),N,GAP-FW
P093,"Fraud, corruption, and collusion in public procurement activities, a systematic literature review on",2022,Applied Network Science,nan,4.6,CONSENSUS,RQ2,RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,national,Y,GAP-FW
P094,Corruption red flags in public procurement: new evidence from Italian calls for tenders,2022,EPJ Data Science,nan,4.0,CONSENSUS,RQ2,RELEVANCE,DESIGN,Algorithm/classic ML,Empirical study (government data),None,national,N,GAP-FW
P096,Artificial intelligence and machine learning in combating illegal financial operations: Bibliometric,2024,Human Technology,nan,4.6,CONSENSUS,"RQ1,RQ2",RIGOR,RELEVANCE,None (literature review),Systematic review / bibliometric,None,sub-national,Y,GAP-FW
